num   IRAS_name         other_names        cloud   d                       d_ref           ra         dec          notes    r_K    m_K    Lbol     SpT  Teff   alma_res          alma_pi      Weq        Av     bcj                 BrG_flux     Lacc           Lstar       dLstar Teff_calc   Mstar     Rstar       Age              Mdisk           Macc
#                                               pc                                                                               mag   Lsun            K                                    A       mag                         erg/s/cm2/mu     Lsun   Lsun  Lsun  K  Msun  Rsun  yr    Earth mass   Msun/yr
 26    05379-0758           HOPS-20        ONCA  400      Tobin2020(Gaiaaverage)  05:40:20.55 -07:56:39.9              -    5.0   9.35    6.4        -     0  0.088538    2015.1.00041.S    -6.10     15.20        0    8.120824787195372e-13       - - - - - - - -  -
 27    05379-0758                 ?        ONCA  400      Tobin2020(Gaiaaverage)  05:40:20.31 -07:56:24.9              -   0.12  10.86   -1.0       K2  4760  0.088538    2015.1.00041.S    -2.35     99.99     1.40    1.9497216018708402e-13      - - - - - - - -  -
 28    05384-0808          HOPS-255        ONCA  400      Tobin2020(Gaiaaverage)  05:40:50.59 -08:05:48.7     ALMAbinary   0.30  11.48   10.8       M2  3490  0.088538    2015.1.00041.S    -1.80     99.99     1.80    1.0955508356715916e-13        9.4272660  1.3727340   0.972734 3560 0.3850  1.55700  1.72800e+06  59.8134937144305    1.4428e-06
 29    05384-0808          HOPS-252        ONCA  400      Tobin2020(Gaiaaverage)  05:40:49.92 -08:06:08.4              -   0.54  11.15   -1.0       M2  3490  0.088538    2015.1.00041.S    -2.73     99.99     1.80    1.4982422661873102e-13      - - - - - - - -  -
 30    05405-0117          HOPS-311        ONCB  430      Tobin2020(Gaiaaverage)  05:43:03.06 -01:16:29.2              -   1.56  10.25    4.4       M2  3490  0.084691    2015.1.00041.S    -3.06     99.99     1.80    3.4433002538427974e-13      - - - - - - - -  -
 31    05427-0116                 -        ONCB  430      Tobin2020(Gaiaaverage)  05:45:17.31 -01:15:27.6              -   0.36  10.92    2.5       M2  3490 -1.000000                -1    -0.26     99.99     1.80    1.8072259614032702e-13      - - - - - - - -  -
 32    05513-1024                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:53:42.55 -10:24:00.7              -    8.8   5.96   -1.0       F0  7280  0.280158    2018.1.00302.S    -2.02     99.99     0.57    1.7724340134559353e-11      - - - - - - - -  -
 33    05555-1405                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:57:49.46 -14:05:27.8              -    4.9  10.62    4.8        -     0 -1.000000                -1    -8.14      5.30        0    2.569633122654561e-13         4.5263652  0.27363475  0.00363474 2754 0.107000 2.12000  89540.0   -99.9               3.3940e-06
 34    05555-1405                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:57:49.18 -14:06:08.0              -   0.54  10.86   -1.0       M2  3490 -1.000000                -1    -1.09     99.99     1.80    1.9257191669088735e-13      - - - - - - - -  -
 35    16240-2430              WL16         Oph  140                    Zucker19  16:27:02.34 -24:37:27.2              -    0.8   7.82   -1.0       A0     0  0.117120    2015.1.00741.S    -8.09     99.99        0    3.3858699523610897e-12      - - - - - - - -  -
 36    16288-2450                 -         Oph  140                    Zucker19  16:31:52.98 -24:56:24.6              b   1.20   7.85   -1.0       M2  3490  0.132648    2013.1.00157.S    -2.71     99.99     1.80    3.1296623525644432e-12      - - - - - - - -  -
 37    16289-4449                 -         Oph  140                    Zucker19  16:32:32.19 -44:55:30.7              F    6.3   7.21    5.9        -     0  0.096363    2016.1.00209.S    -2.26      3.90        0    5.618113966508963e-12       - - - - - - - -  -
 38    16316-1540                 -         Oph  140                    Zucker19  16:34:29.29 -15:47:01.9              -   0.00   8.28   11.4       K0  5030 -1.000000                -1    -0.64     99.99     1.30    2.0637419135837085e-12        8.1119471  3.2880529   0.211947 5080 1.84100  2.28600  4.53900e+06  -99.9               3.8121e-07
 39    16442-0930                 -         Oph  140                    Zucker19  16:46:58.27 -09:35:19.7              -    1.4  10.92    0.7        -     0  1.089869    2019.1.01792.S    -2.99      8.60        0    1.8564352859058727e-13        0.66296993 0.037030071 0.232970 2754 0.107000 2.12000  89540.0   -99.9               4.9712e-07
 40    18275+0040                 -      SerAqu  384                     GaiaDR2  18:30:06.17  00:42:33.6              -   11.2   7.72    3.4        -     0 -1.000000                -1    -1.83      1.30        0    3.497522364615549e-12       - - - - - - - -  -
 41    18341-0113                 -      SerAqu  644                     GaiaDR2  18:36:46.33 -01:10:29.5              F   0.12   9.80   -1.0       M2  3490 -1.000000                -1    -1.66     99.99     1.80    5.140849167223683e-13       - - - - - - - -  -
 42    18577-3701        HH88;CrA12         CrA  151                    Zucker19  19:01:08.61 -36:57:20.1              -    4.8   6.11    1.5        -     0  0.256305    2015.1.01058.S    -6.50      1.30        0    1.6115150443595718e-11      - - - - - - - -  -
 43    19266+0932       Parsamian21      CloudA  133                   Zucker19?  19:29:00.86  09:38:42.9              F   0.00   9.68    3.4        3  5740  0.113757    2016.1.00209.S    -0.18     99.99     1.08    5.658037008804349e-13         2.9875812  0.41241883  0.0271812 2951 0.177000    2.37900    129800.   26.3460901305551    1.5197e-06
 44    20355+6343           LDN1100     Cepheus  352                   Zucker19?  20:36:22.86  63:53:40.4              -    3.9   0.40    2.5        -     0 -1.000000                -1    -1.65     12.10        0    2.957958928163141e-09       - - - - - - - -  -
 45    21445+5712                 -     Cepheus  352                   Zucker19?  21:46:07.12  57:26:31.8              -    5.1  10.25   18.5        -     0 -1.000000                -1    -0.63      6.80        0    3.362112405823799e-13        18.394172  0.10582841  0.164172 2754 0.107000 2.12000  89540.0   -99.9               1.3792e-05
 46    22266+6845                 -     Cepheus  352                   Zucker19?  22:28:02.99  69:01:16.7              -   0.12  10.49    1.8       K2  4760 -1.000000                -1    -1.82     99.99     1.40    2.7272054064076877e-13      - - - - - - - -  -
 47    22272+6358                 -     Cepheus  352                   Zucker19?  22:28:57.60  64:13:37.5              -    0.0   8.18  815.5       F3  6660 -1.000000                -1    -2.42     99.99     0.76    2.3028705609802905e-12      606.33489  209.16511   9.16511  6440 4.96400  10.8300  481300.   -99.9               5.0064e-05
 48    22324+4024                 -     Lacerta  503                    Zucker19  22:34:41.01  40:40:04.5              -    8.4   9.46  111.6       F3  6660 -1.000000                -1    -2.19     99.99     0.76    7.067944906907331e-13       104.14318  7.4568193   0.0431807 6440 1.58500  2.16700  1.15100e+07  -99.9             5.3886e-06
 49    23037+6213                 -     Cepheus  352                   Zucker19?  23:05:49.76  62:30:01.2              -   0.60   9.04  330.2       F3  6660 -1.000000                -1    -2.90     99.99     0.76    1.0478524453352335e-12      267.99642  62.203577   2.20358  6440 3.24500  5.95600    1.44300e+06  -99.9               1.8616e-05
 50    23591+4748                 -     Cepheus  395                     GaiaDR2  00:01:43.25  48:05:19.0              -   0.84  10.42   -1.0       M2  3490 -1.000000                -1    -2.81     99.99     1.80    2.937109348630021e-13 - - - - - - - -  -
